CAZy Family	Hit ID	Description	Taxonomy Lineage		
GT4	ABV97794.1	glycosyl transferase group 1	Bacteria	Actinobacteria	Actinobacteridae
GT4	ABK02043.1	"glycosyl transferase, group 1"	Bacteria	Actinobacteria	Actinobacteridae
GT4	CAN02769.1	putative bifunctional glycosyl transferase/isomerase	Bacteri	Actinobacteria	Actinobacteridae
GT4	BAG22200.1	putative glycosyl transferase	Bacteria	Actinobacteria	Actinobacteridae
GT4	ABK01659.1	"glycosyl transferase, group 1"	Bacteria	Actinobacteria	Actinobacteridae
GT4	ABG03989.1	"glycosyl transferase, group 1"	Bacteria	Actinobacteria	Rubrobacteridae
GT4	ABC19678.1	"Glycosyl transferase, group 1"	Bacteria	Firmicutes	Clostridia
GT4	BAB06407.1	alpha-D-mannose-alpha(1-6)phosphatidyl myo-inositol monomannoside transferase	Bacteria	Firmicutes	Bacillales
GT4	ABY93544.1	"glycosyl transferase, group 1"	Bacteria	Firmicutes	Clostridia
GT4	CAI32934.1	putative glycosyl transferase	Bacteria	Firmicutes	Lactobacillales
GT4	ABK61759.1	"glycosyltransferase, putative"	Bacteria	Firmicutes	Clostridia
GT4	ABG86485.1	"teichuronic acid biosynthesis glycosyl transferase, putative"	Bacteria	Firmicutes	Clostridia
GT4	ABC18990.1	hypothetical protein Moth_0664	Bacteria	Firmicutes	Clostridia
GT4	BAD85512.1	"glycosyltransferase, family 4"	Archaea	Euryarchaeota	Thermococci
GT4	ABR56017.1	glycosyl transferase group 1	Archaea	Euryarchaeota	Methanococci
GT4	AAL81482.1	glycosyl transferase	Archaea	Euryarchaeota	Thermococci
GT4	ABN56890.1	"glycosyl transferase, group 1"	Archaea	Euryarchaeota	Methanomicrobia
GT4	BAD85910.1	"glycosyltransferase, family 4"	Archaea	Euryarchaeota	Thermococci
GT4	AAM31909.1	putative glycosyltransferase	Archaea	Euryarchaeota	Methanomicrobia
GT4	AAM04600.1	glycosyltransferase	Archaea	Euryarchaeota	Methanomicrobia
GT4	ABN57123.1	"glycosyl transferase, group 1"	Archaea	Euryarchaeota	Methanomicrobia
GT4	ACD84038.1	PHP family phosphoesterase fused to glycosyltransferase	Bacteri	Verrucomicrobia	unclassified
GT4	ACB75887.1	glycosyl transferase group 1	Bacteria	Verrucomicrobia	Opitutae
GT4	ACB74521.1	glycosyl transferase group 1	Bacteria	Verrucomicrobia	Opitutae
GT4	ACD82698.1	Glycosyltransferase	Bacteria	Verrucomicrobia	unclassified
GT4	ACD82944.1	Glycosyltransferase	Bacteria	Verrucomicrobia	unclassified
CE10	AAG10492.1	predicted esterase of alpha/beta hydrolase fold	Bacteria	Proteobacteria	Gammaproteobacteria
CE10	AAK23208.1	hypothetical protein CC_1226	Bacteria	Proteobacteria	Alphaproteobacteria
CE10	AAF84552.1	esterase	Bacteria	Proteobacteria	Gammaproteobacteria
CE10	AAF84062.1	lipase	Bacteria	Proteobacteria	Gammaproteobacteria
CE10	AAL20541.1	putative carboxylesterase	Bacteria	Proteobacteria	Gammaproteobacteria
CE10	AAK22784.1	para-nitrobenzyl esterase	Bacteria	Proteobacteria	Alphaproteobacteria
CE10	AAM39462.1	carboxylesterase type B	Bacteria	Proteobacteria	Gammaproteobacteria
CE10	CAA20138.1	dipeptidyl aminopeptidase (predicted)	Eukaryota	Fungi	Dikarya
GH13	ABS05210.1	trehalose synthase	Bacteria	Actinobacteria	Actinobacteridae
GH13	AAT82863.1	putative glycogen debranching enzyme	Bacteria	Actinobacteria	Actinobacteridae
GH13	ABN96148.1	trehalose synthase	Bacteria	Actinobacteria	Actinobacteridae
GH13	ABP44059.1	trehalose synthase	Bacteria	Actinobacteria	Actinobacteridae
GH13	ABM06467.1	trehalose synthase	Bacteria	Actinobacteria	Actinobacteridae
GH13	ABS02785.1	alpha amylase catalytic region	Bacteria	Actinobacteria	Actinobacteridae
GH13	ABM07243.1	putative alpha glucosidase	Bacteria	Actinobacteria	Actinobacteridae
GH13	CAQ01637.1	putative sugar synthase	Bacteria	Actinobacteria	Actinobacteridae
GH13	CAN02470.1	putative alpha glycosidase	Bacteria	Actinobacteria	Actinobacteridae
GH13	ABK02310.1	"alpha amylase, catalytic region"	Bacteria	Actinobacteria	Actinobacteridae
GH13	CAJ73822.1	conserved hypothetical protein	Bacteria	Planctomycetes	Planctomycetacia
GH13	CAJ75048.1	similar to isoamylase	Bacteria	Planctomycetes	Planctomycetacia
